filename,rmse,nrmse_mean,nrmse_range
forecasting-values GRU svd - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,30.459423621880973,0.0340769171151793,0.15030711466446764
prediction LSTM mediana-movel - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,37.107246001303096,0.041443970171309394,0.1938245698292747
prediction bi-LSTM knn - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,57.43626423410035,0.06484601783478079,0.127741865316631
prediction LSTM knn - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,31.81582424120561,0.035596180293545554,0.16618555974482538
prediction LSTM knn - treated bbr esmond data ba-pe 07-03-2023_longest_interval.csv.csv,561.7379852719421,0.1524770650855458,0.1722958777045541
prediction bi-LSTM mediana-movel - treated bbr esmond data ma-rj 07-03-2023_longest_interval.csv.csv,47.231564339384896,0.05373014110187972,0.15595099262007056
forecasting-values bi-LSTM svd - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,59.12475457277981,0.06729954194194065,0.131497174062912
forecasting-values LSTM svd - treated bbr esmond data es-pr 07-03-2023_longest_interval.csv.csv,13.347177914455521,0.014583754035236323,0.11936314386807517
prediction bi-LSTM media-movel - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,58.943664814370926,0.06674570219770765,0.13109441904676744
forecasting-values bi-LSTM svd - treated bbr esmond data rs-pe 07-07-2023_longest_interval.csv.csv,399.4084321267506,0.20767479847975379,0.152714250425861
prediction GRU mediana-movel - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,57.96954898304717,0.06562705652367852,0.12892792415043192
prediction bi-LSTM media-movel - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,11.642955307533054,0.012685473016307248,0.14495408639853288
prediction GRU interpolacao-linear - treated bbr esmond data ma-rj 07-03-2023_longest_interval.csv.csv,45.49279783458017,0.05189415202153502,0.15020986661352173
prediction GRU interpolacao-linear - treated bbr esmond data pb-es 07-08-2023_longest_interval.csv.csv,28.729013589291625,0.03153848280255226,0.12602470624955792
prediction bi-LSTM interpolacao-linear - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,59.18373629013574,0.06731787120170481,0.13162835311320534
prediction GRU media-movel - treated bbr esmond data pb-es 07-08-2023_longest_interval.csv.csv,29.69182291924872,0.03255882692741428,0.1302482331940195
prediction LSTM mediana-movel - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,11.631690271877018,0.012669649579642468,0.14481383738884104
prediction LSTM interpolacao-linear - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,43.624032817246054,0.051054991539419746,0.1328770587319844
prediction bi-LSTM interpolacao-linear - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,28.267804002934202,0.029678222536901742,0.1703001841875062
prediction GRU interpolacao-linear - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,11.949742109569238,0.013023837492216446,0.14877356344999165
forecasting-values LSTM svd - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,31.749866060177037,0.03552061810432525,0.15667501846818654
prediction bi-LSTM mediana-movel - treated bbr esmond data rs-pe 07-07-2023_longest_interval.csv.csv,499.1080264674724,0.262875188789484,0.19083449925594576
prediction LSTM knn - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,57.33873711934351,0.06473590891479393,0.12752495887739587
prediction bi-LSTM media-movel - treated bbr esmond data es-pr 07-03-2023_longest_interval.csv.csv,14.5845857505264,0.015924489561318995,0.13042922019574937
prediction GRU interpolacao-linear - treated bbr esmond data es-pr 07-03-2023_longest_interval.csv.csv,14.325762477491141,0.015634908314949368,0.12811457662287434
prediction bi-LSTM media-movel - treated bbr esmond data rs-go 07-07-2023_longest_interval.csv.csv,14.708366003892884,0.016783095167454694,0.12134117471861029
prediction GRU media-movel - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,20.503076414762347,0.023633172712905867,0.20219991080241395
prediction GRU interpolacao-linear - treated bbr esmond data ce-am 07-03-2023_longest_interval.csv.csv,80.92955389452945,0.0903539200324436,0.12063137257430678
forecasting-values GRU svd - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,21.0456752166536,0.024365459936484597,0.17487728625627944
prediction GRU mediana-movel - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,35.2216368129808,0.03933798982038732,0.18397535089829117
prediction GRU media-movel - treated bbr esmond data pb-ac 07-08-2023_longest_interval.csv.csv,45.257906269364355,0.050621164494160764,0.18304707440868204
prediction GRU mediana-movel - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,11.433617952387197,0.012453902184319323,0.14234784904188683
prediction LSTM knn - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,40.3164986843235,0.04745718486363165,0.12280244208478974
prediction bi-LSTM interpolacao-linear - treated bbr esmond data go-se 07-03-2023_longest_interval.csv.csv,13.016169844885633,0.014167727807448911,0.11707020142184867
prediction LSTM mediana-movel - treated bbr esmond data ba-pe 07-03-2023_longest_interval.csv.csv,663.8422934456916,0.19113013362669848,0.20361323892180547
prediction bi-LSTM mediana-movel - treated bbr esmond data pr-pa 07-08-2023_longest_interval.csv.csv,16.179546241074,0.017661034258232698,0.16035356873306714
prediction bi-LSTM mediana-movel - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,21.843784665716274,0.02511241015619279,0.21542188214324928
forecasting-values LSTM svd - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,29.63318476791357,0.031232249540414914,0.17852595919775913
prediction bi-LSTM knn - treated bbr esmond data pb-es 07-08-2023_longest_interval.csv.csv,28.28281457066195,0.031003222702471384,0.12406737833515274
prediction bi-LSTM knn - treated bbr esmond data go-se 07-03-2023_longest_interval.csv.csv,12.548712046534376,0.013646312428468444,0.11286578650860148
