,Data,Vazao,throughput_raw,hour,day_of_week,relative_day,is_weekend,time_since_start,hour_sin,hour_cos,throughput_rolling_mean,throughput_rolling_std
0,2024-01-15 12:00:00,884736884.0,884736884.0,12,0,0,False,0.0,1.2246467991473532e-16,-1.0,884736884.0,0.0
1,2024-01-15 18:00:00,919615275.0,919615275.0,18,0,0,False,6.0,-1.0,-1.8369701987210297e-16,902176079.5,24662746.792975847
2,2024-01-16 00:00:00,,,0,1,1,False,12.0,0.0,1.0,902176079.5,24662746.792975847
3,2024-01-16 06:00:00,932835005.0,932835005.0,6,1,1,False,18.0,1.0,6.123233995736766e-17,912395721.3333334,24848516.601440612
4,2024-01-16 12:00:00,924748721.5,924748721.5,12,1,1,False,24.0,1.2246467991473532e-16,-1.0,925733000.5,6664601.952150209
5,2024-01-16 18:00:00,919815857.0,919815857.0,18,1,1,False,30.0,-1.0,-1.8369701987210297e-16,925799861.1666666,6572915.989924451
6,2024-01-17 00:00:00,,,0,2,2,False,36.0,0.0,1.0,925799861.1666666,6572915.989924451
7,2024-01-17 06:00:00,920912286.0,920912286.0,6,2,2,False,42.0,1.0,6.123233995736766e-17,921825621.5,2590159.1351707494
8,2024-01-17 12:00:00,921494302.0,921494302.0,12,2,2,False,48.0,1.2246467991473532e-16,-1.0,920740815.0,852259.4278652682
9,2024-01-17 18:00:00,,,18,2,2,False,54.0,-1.0,-1.8369701987210297e-16,921203294.0,411547.46035477944
10,2024-01-18 00:00:00,,,0,3,3,False,60.0,0.0,1.0,921203294.0,411547.46035477944
11,2024-01-18 06:00:00,920546113.0,920546113.0,6,3,3,False,66.0,1.0,6.123233995736766e-17,921020207.5,670470.8717438579
12,2024-01-18 12:00:00,920311582.5,920311582.5,12,3,3,False,72.0,1.2246467991473532e-16,-1.0,920428847.75,165838.1069344249
13,2024-01-18 18:00:00,920234254.0,920234254.0,18,3,3,False,78.0,-1.0,-1.8369701987210297e-16,920363983.1666666,162398.83425940544
14,2024-01-19 00:00:00,,,0,4,4,False,84.0,0.0,1.0,920363983.1666666,162398.83425940544
15,2024-01-19 06:00:00,,,6,4,4,False,90.0,1.0,6.123233995736766e-17,920272918.25,54679.50669652356
16,2024-01-19 12:00:00,,,12,4,4,False,96.0,1.2246467991473532e-16,-1.0,920234254.0,0.0
17,2024-01-19 18:00:00,824606677.0,824606677.0,18,4,4,False,102.0,-1.0,-1.8369701987210297e-16,824606677.0,0.0
18,2024-01-20 00:00:00,,,0,5,5,True,108.0,0.0,1.0,824606677.0,0.0
19,2024-01-20 06:00:00,,,6,5,5,True,114.0,1.0,6.123233995736766e-17,824606677.0,0.0
20,2024-01-20 12:00:00,899365883.0,899365883.0,12,5,5,True,120.0,1.2246467991473532e-16,-1.0,861986280.0,52862741.51872203
21,2024-01-20 18:00:00,916544339.5,916544339.5,18,5,5,True,126.0,-1.0,-1.8369701987210297e-16,907955111.25,12147003.081468126
22,2024-01-21 00:00:00,,,0,6,6,True,132.0,0.0,1.0,907955111.25,12147003.081468126
23,2024-01-21 06:00:00,927546196.5,927546196.5,6,6,6,True,138.0,1.0,6.123233995736766e-17,914485473.0,14202524.975798748
24,2024-01-21 12:00:00,920753664.0,920753664.0,12,6,6,True,144.0,1.2246467991473532e-16,-1.0,921614733.3333334,5551242.623027533
25,2024-01-21 18:00:00,931845211.0,931845211.0,18,6,6,True,150.0,-1.0,-1.8369701987210297e-16,926715023.8333334,5592292.885271864
26,2024-01-22 00:00:00,,,0,0,0,False,156.0,0.0,1.0,926715023.8333334,5592292.885271864
27,2024-01-22 06:00:00,,,6,0,0,False,162.0,1.0,6.123233995736766e-17,926299437.5,7842908.0975492755
28,2024-01-22 12:00:00,914472783.0,914472783.0,12,0,0,False,168.0,1.2246467991473532e-16,-1.0,923158997.0,12284161.644475032
29,2024-01-22 18:00:00,902920641.0,902920641.0,18,0,0,False,174.0,-1.0,-1.8369701987210297e-16,908696712.0,8168597.945429895
30,2024-01-23 00:00:00,920075081.0,920075081.0,0,1,1,False,180.0,0.0,1.0,912489501.6666666,8747500.017934343
31,2024-01-23 06:00:00,914832555.0,914832555.0,6,1,1,False,186.0,1.0,6.123233995736766e-17,913075265.0,7237746.825259364
32,2024-01-23 12:00:00,870529884.0,870529884.0,12,1,1,False,192.0,1.2246467991473532e-16,-1.0,902089540.25,22230360.11151897
33,2024-01-23 18:00:00,905398062.0,905398062.0,18,1,1,False,198.0,-1.0,-1.8369701987210297e-16,902708895.5,22295649.172534417
34,2024-01-24 00:00:00,,,0,2,2,False,204.0,0.0,1.0,896920167.0,23336402.725287985
35,2024-01-24 06:00:00,799408898.5,799408898.5,6,2,2,False,210.0,1.0,6.123233995736766e-17,858445614.8333334,54018032.78375447
36,2024-01-24 12:00:00,871183277.0,871183277.0,12,2,2,False,216.0,1.2246467991473532e-16,-1.0,858663412.5,54092383.47661531
37,2024-01-24 18:00:00,,,18,2,2,False,222.0,-1.0,-1.8369701987210297e-16,835296087.75,50752149.75279997
38,2024-01-25 00:00:00,894176894.0,894176894.0,0,3,3,False,228.0,0.0,1.0,854923023.1666666,49432177.109807044
39,2024-01-25 06:00:00,885914241.5,885914241.5,6,3,3,False,234.0,1.0,6.123233995736766e-17,883758137.5,11647454.40127537
40,2024-01-25 12:00:00,,,12,3,3,False,240.0,1.2246467991473532e-16,-1.0,890045567.75,5842577.613338793
41,2024-01-25 18:00:00,879487701.5,879487701.5,18,3,3,False,246.0,-1.0,-1.8369701987210297e-16,886526279.0,7363697.203278629
42,2024-01-26 00:00:00,886152685.0,886152685.0,0,4,4,False,252.0,0.0,1.0,883851542.6666666,3781077.3757751775
43,2024-01-26 06:00:00,873830370.0,873830370.0,6,4,4,False,258.0,1.0,6.123233995736766e-17,879823585.5,6168020.370094688
44,2024-01-26 12:00:00,911004149.0,911004149.0,12,4,4,False,264.0,1.2246467991473532e-16,-1.0,887618726.375,16383524.302430121
45,2024-01-26 18:00:00,902912497.5,902912497.5,18,4,4,False,270.0,-1.0,-1.8369701987210297e-16,893474925.375,16691966.216322612
46,2024-01-27 00:00:00,,,0,5,5,True,276.0,0.0,1.0,895915672.1666666,19549658.177167613
47,2024-01-27 06:00:00,855321347.0,855321347.0,6,5,5,True,282.0,1.0,6.123233995736766e-17,889745997.8333334,30085896.11008882
48,2024-01-27 12:00:00,913289740.0,913289740.0,12,5,5,True,288.0,1.2246467991473532e-16,-1.0,890507861.5,30910999.538513657
49,2024-01-27 18:00:00,919690871.5,919690871.5,18,5,5,True,294.0,-1.0,-1.8369701987210297e-16,896100652.8333334,35460646.62843136
50,2024-01-28 00:00:00,,,0,6,6,True,300.0,0.0,1.0,896100652.8333334,35460646.62843136
51,2024-01-28 06:00:00,827038137.0,827038137.0,6,6,6,True,306.0,1.0,6.123233995736766e-17,886672916.1666666,51744311.627587646
52,2024-01-28 12:00:00,883636674.0,883636674.0,12,6,6,True,312.0,1.2246467991473532e-16,-1.0,876788560.8333334,46704440.8278215
53,2024-01-28 18:00:00,905500566.0,905500566.0,18,6,6,True,318.0,-1.0,-1.8369701987210297e-16,872058459.0,40492338.63442173
54,2024-01-29 00:00:00,890663482.0,890663482.0,0,0,0,False,324.0,0.0,1.0,876709714.75,34345640.85291496
55,2024-01-29 06:00:00,872761533.0,872761533.0,6,0,0,False,330.0,1.0,6.123233995736766e-17,888140563.75,13717803.569398355
56,2024-01-29 12:00:00,891459919.5,891459919.5,12,0,0,False,336.0,1.2246467991473532e-16,-1.0,890096375.125,13415994.328690661
57,2024-01-29 18:00:00,886203430.0,886203430.0,18,0,0,False,342.0,-1.0,-1.8369701987210297e-16,885272091.125,8655205.991474813
58,2024-01-30 00:00:00,913363129.0,913363129.0,0,1,1,False,348.0,0.0,1.0,890947002.875,16891404.047730736
