imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
knn,ba-go,bbr,LSTM,18.738784963993826,12.756382873623389,0.18480059146329264
knn,ba-pa,bbr,bi-LSTM,22.23846270971361,12.176891954425193,0.12829201644693664
knn,ba-pa,bbr,GRU,21.600684052483885,11.328225122341001,0.12461271940869839
knn,ba-pa,bbr,LSTM,21.9065763454746,11.72054964920465,0.12637738900819434
knn,ba-pe,bbr,bi-LSTM,563.3719775353856,369.3533584710239,0.17279705465639608
knn,ba-pe,bbr,GRU,564.0537494630329,368.5716270669746,0.1730061672600443
knn,ba-pe,bbr,LSTM,561.7379887216179,360.94221767549095,0.17229587876263622
knn,ce-am,bbr,bi-LSTM,75.73002457774265,50.601344157707516,0.11288109683397879
knn,ce-am,bbr,GRU,76.57706942039941,51.41474850960012,0.11414367863610805
knn,ce-am,bbr,LSTM,77.827464068558,52.81558600103641,0.11600748259162613
knn,ce-ro,bbr,bi-LSTM,13.498596381539247,7.50031918457697,0.12185127602600236
knn,ce-ro,bbr,GRU,13.390946492732521,7.34586517263221,0.12087952489392939
knn,ce-ro,bbr,LSTM,13.177892393081493,7.010315200534269,0.11895629427266619
knn,es-pr,bbr,bi-LSTM,13.985958951678963,8.809090334845619,0.12507573070365796
knn,es-pr,bbr,GRU,13.62191354662153,8.527269682188106,0.12182009087201084
knn,es-pr,bbr,LSTM,14.025131200797743,8.808492079258457,0.1254260461663849
knn,go-se,bbr,bi-LSTM,12.548709089846172,7.219582102523353,0.11286575991551846
knn,go-se,bbr,GRU,12.212777890952493,6.830162299276457,0.10984432322661272
knn,go-se,bbr,LSTM,12.382060568316206,7.006140266365672,0.11136688765012372
knn,ma-rj,bbr,bi-LSTM,43.76000151373601,25.123417563052175,0.1444884531896027
knn,ma-rj,bbr,GRU,42.814606498183664,23.806638922264607,0.14136691162824236
knn,ma-rj,bbr,LSTM,43.55315888019002,24.690087922942745,0.1438054922403134
knn,pb-ac,bbr,bi-LSTM,44.56102511633676,35.7325073037853,0.18022851591167524
knn,pb-ac,bbr,GRU,45.020777667603404,35.943842074636976,0.18208800006369075
knn,pb-ac,bbr,LSTM,46.19319624872478,36.942221103949045,0.18682988516061397
knn,pb-es,bbr,bi-LSTM,28.28281207531604,15.313454157668348,0.12406736738889333
knn,pb-es,bbr,GRU,27.443840996823933,14.452321790120303,0.12038707800512373
knn,pb-es,bbr,LSTM,28.12932884446624,15.196562631256967,0.12339408708214139
knn,pr-pa,bbr,bi-LSTM,15.409781223335646,7.579887290440998,0.1527245187065057
