Throughput,Timestamp
879728868.8776319,09-01-23 00:00:00
879730298.0,09-01-23 06:00:00
885103520.0,09-01-23 12:00:00
885865781.5,09-01-23 18:00:00
877973830.5,10-01-23 00:00:00
886729136.0,10-01-23 06:00:00
884214350.5,10-01-23 12:00:00
885026926.0,10-01-23 18:00:00
889507465.0,11-01-23 00:00:00
878603324.0,11-01-23 06:00:00
887589744.3333334,11-01-23 12:00:00
882902801.0,11-01-23 18:00:00
869716496.0,12-01-23 00:00:00
886490816.5,12-01-23 06:00:00
881407430.5,12-01-23 12:00:00
892863267.0,12-01-23 18:00:00
889482408.0,13-01-23 00:00:00
879417112.0,13-01-23 06:00:00
886544433.0,13-01-23 12:00:00
897766642.5,13-01-23 18:00:00
864078361.0,14-01-23 00:00:00
876092953.5,14-01-23 06:00:00
884056567.0,14-01-23 12:00:00
886626181.5,14-01-23 18:00:00
894331767.0,15-01-23 00:00:00
885681755.0,15-01-23 06:00:00
898056103.0,15-01-23 12:00:00
884651234.5,15-01-23 18:00:00
885234186.0,16-01-23 00:00:00
872801418.0,16-01-23 06:00:00
896342799.0,16-01-23 12:00:00
887415015.0,16-01-23 18:00:00
882954612.0,17-01-23 00:00:00
895223013.0,17-01-23 06:00:00
879728868.877631,17-01-23 12:00:00
876036717.0,17-01-23 18:00:00
885394907.0,18-01-23 00:00:00
885590360.0,18-01-23 06:00:00
893017830.0,18-01-23 12:00:00
889298572.5,18-01-23 18:00:00
874959031.0,19-01-23 00:00:00
889614102.0,19-01-23 06:00:00
874106812.6666666,19-01-23 12:00:00
888302313.0,19-01-23 18:00:00
880757708.0,20-01-23 00:00:00
884501633.5,20-01-23 06:00:00
867750587.0,20-01-23 12:00:00
900053355.0,20-01-23 18:00:00
879686750.6666666,21-01-23 00:00:00
879966475.0,21-01-23 06:00:00
885314045.3333334,21-01-23 12:00:00
881748925.0,21-01-23 18:00:00
888535654.5,22-01-23 00:00:00
851231492.0,22-01-23 06:00:00
879886955.0,22-01-23 12:00:00
867069618.0,22-01-23 18:00:00
880411308.0,23-01-23 00:00:00
887254002.0,23-01-23 06:00:00
889011214.5,23-01-23 12:00:00
882386719.0,23-01-23 18:00:00
884475204.5,24-01-23 00:00:00
879355047.0,24-01-23 06:00:00
881661881.6666666,24-01-23 12:00:00
886414651.5,24-01-23 18:00:00
879728868.8776305,25-01-23 00:00:00
884210899.5,25-01-23 06:00:00
887623134.0,25-01-23 12:00:00
887907919.0,25-01-23 18:00:00
785073522.0,26-01-23 00:00:00
860644064.0,26-01-23 06:00:00
886624057.0,26-01-23 12:00:00
885183946.5,26-01-23 18:00:00
876033607.0,27-01-23 00:00:00
877028465.0,27-01-23 06:00:00
889352157.0,27-01-23 12:00:00
886624589.0,27-01-23 18:00:00
892339782.0,28-01-23 00:00:00
881015346.5,28-01-23 06:00:00
894593553.0,28-01-23 12:00:00
885488852.3333334,28-01-23 18:00:00
879178766.0,29-01-23 00:00:00
877085847.0,29-01-23 06:00:00
856032063.5,29-01-23 12:00:00
894622026.0,29-01-23 18:00:00
879728868.8776307,30-01-23 00:00:00
887516454.5,30-01-23 06:00:00
876386629.5,30-01-23 12:00:00
799172438.0,30-01-23 18:00:00
880673988.5,31-01-23 00:00:00
862193599.0,31-01-23 06:00:00
892914260.0,31-01-23 12:00:00
868902111.0,31-01-23 18:00:00
884530619.0,01-02-23 00:00:00
882038628.0,01-02-23 06:00:00
897478711.0,01-02-23 12:00:00
880937353.5,01-02-23 18:00:00
876060745.0,02-02-23 00:00:00
881271035.0,02-02-23 06:00:00
879728868.8776304,02-02-23 12:00:00
884266217.5,02-02-23 18:00:00
886416270.5,03-02-23 00:00:00
874989449.0,03-02-23 06:00:00
891134296.5,03-02-23 12:00:00
890243294.0,03-02-23 18:00:00
894175106.0,04-02-23 00:00:00
889953179.0,04-02-23 06:00:00
889090702.0,04-02-23 12:00:00
878524864.5,04-02-23 18:00:00
888355985.0,05-02-23 00:00:00
878526817.5,05-02-23 06:00:00
890610385.0,05-02-23 12:00:00
879728868.87763,05-02-23 18:00:00
886467347.0,06-02-23 00:00:00
874253562.0,06-02-23 06:00:00
899838058.0,06-02-23 12:00:00
894489233.5,06-02-23 18:00:00
888540067.0,07-02-23 00:00:00
884106987.0,07-02-23 06:00:00
887777980.0,07-02-23 12:00:00
892813770.0,07-02-23 18:00:00
876036980.0,08-02-23 00:00:00
882980800.0,08-02-23 06:00:00
895198206.0,08-02-23 12:00:00
892027171.0,08-02-23 18:00:00
889141619.0,09-02-23 00:00:00
887910339.5,09-02-23 06:00:00
886680210.0,09-02-23 12:00:00
878014681.5,09-02-23 18:00:00
881798444.0,10-02-23 00:00:00
886836300.0,10-02-23 06:00:00
891659811.0,10-02-23 12:00:00
888407769.5,10-02-23 18:00:00
882744096.0,11-02-23 00:00:00
870425418.0,11-02-23 06:00:00
887707389.5,11-02-23 12:00:00
876683487.0,11-02-23 18:00:00
881146913.0,12-02-23 00:00:00
863714901.0,12-02-23 06:00:00
884160697.0,12-02-23 12:00:00
883819800.5,12-02-23 18:00:00
888510943.0,13-02-23 00:00:00
846674215.0,13-02-23 06:00:00
895142754.0,13-02-23 12:00:00
840592799.0,13-02-23 18:00:00
890451851.0,14-02-23 00:00:00
885157289.0,14-02-23 06:00:00
901628554.0,14-02-23 12:00:00
885419566.0,14-02-23 18:00:00
889980259.0,15-02-23 00:00:00
893129832.0,15-02-23 06:00:00
892865499.0,15-02-23 12:00:00
889299104.5,15-02-23 18:00:00
878498993.0,16-02-23 00:00:00
893991493.0,16-02-23 06:00:00
890845756.5,16-02-23 12:00:00
877083938.0,16-02-23 18:00:00
879728868.8776292,17-02-23 00:00:00
883113309.0,17-02-23 06:00:00
888899979.5,17-02-23 12:00:00
886470228.0,17-02-23 18:00:00
875719078.0,18-02-23 00:00:00
864448042.0,18-02-23 06:00:00
886730732.0,18-02-23 12:00:00
889472659.5,18-02-23 18:00:00
887804568.5,19-02-23 00:00:00
890766959.0,19-02-23 06:00:00
878031241.5,19-02-23 12:00:00
893440565.0,19-02-23 18:00:00
881591814.0,20-02-23 00:00:00
874666915.0,20-02-23 06:00:00
882562303.0,20-02-23 12:00:00
883584156.0,20-02-23 18:00:00
886231483.0,21-02-23 00:00:00
895275442.0,21-02-23 06:00:00
888722632.0,21-02-23 12:00:00
891605911.0,21-02-23 18:00:00
892940396.0,22-02-23 00:00:00
888672736.0,22-02-23 06:00:00
888881252.0,22-02-23 12:00:00
885000487.0,22-02-23 18:00:00
889088211.5,23-02-23 00:00:00
896167091.0,23-02-23 06:00:00
888774572.0,23-02-23 12:00:00
879728868.8776284,23-02-23 18:00:00
869819319.0,24-02-23 00:00:00
882546605.0,24-02-23 06:00:00
889825108.0,24-02-23 12:00:00
878656479.0,24-02-23 18:00:00
889089946.0,25-02-23 00:00:00
879335789.0,25-02-23 06:00:00
895521023.3333334,25-02-23 12:00:00
805988788.0,25-02-23 18:00:00
889876425.0,26-02-23 00:00:00
886887398.0,26-02-23 06:00:00
888983132.0,26-02-23 12:00:00
895340334.0,26-02-23 18:00:00
888775372.0,27-02-23 00:00:00
879626229.0,27-02-23 06:00:00
878288267.0,27-02-23 12:00:00
889040976.0,27-02-23 18:00:00
862402926.0,28-02-23 00:00:00
886493317.0,28-02-23 06:00:00
894329665.0,28-02-23 12:00:00
878910502.5,28-02-23 18:00:00
886366300.0,01-03-23 00:00:00
881749519.0,01-03-23 06:00:00
892026636.0,01-03-23 12:00:00
895040580.5,01-03-23 18:00:00
886992345.0,02-03-23 00:00:00
881723708.0,02-03-23 06:00:00
890583501.5,02-03-23 12:00:00
879917389.0,02-03-23 18:00:00
886572649.0,03-03-23 00:00:00
890080088.0,03-03-23 06:00:00
865653568.5,03-03-23 12:00:00
852651961.0,03-03-23 18:00:00
889509644.0,04-03-23 00:00:00
882091663.0,04-03-23 06:00:00
896011722.0,04-03-23 12:00:00
881067525.0,04-03-23 18:00:00
880712279.0,05-03-23 00:00:00
880962491.0,05-03-23 06:00:00
893965435.0,05-03-23 12:00:00
879100782.0,05-03-23 18:00:00
877083894.0,06-03-23 00:00:00
884632292.5,06-03-23 06:00:00
897221411.0,06-03-23 12:00:00
894474684.0,06-03-23 18:00:00
882027356.6666666,07-03-23 00:00:00
880857413.0,07-03-23 06:00:00
884580571.0,07-03-23 12:00:00
884370048.5,07-03-23 18:00:00
887857688.5,08-03-23 00:00:00
884212640.0,08-03-23 06:00:00
883636718.0,08-03-23 12:00:00
883726435.0,08-03-23 18:00:00
887299953.0,09-03-23 00:00:00
850674140.5,09-03-23 06:00:00
894017468.0,09-03-23 12:00:00
884947440.0,09-03-23 18:00:00
884371297.0,10-03-23 00:00:00
842582233.0,10-03-23 06:00:00
900515627.0,10-03-23 12:00:00
879861881.0,10-03-23 18:00:00
886191104.0,11-03-23 00:00:00
891028792.0,11-03-23 06:00:00
879728868.877627,11-03-23 12:00:00
889350173.5,11-03-23 18:00:00
886863518.0,12-03-23 00:00:00
883342594.0,12-03-23 06:00:00
887572791.0,12-03-23 12:00:00
886598041.0,12-03-23 18:00:00
887442285.0,13-03-23 00:00:00
883585471.0,13-03-23 06:00:00
